Date,NVDA,JNJ,JPM,XOM,PG,AMZN,NEE,CAT,GOOGL,GLD
1/3/2023,14.32,178.19,135.12,106.51,151.57,85.82,83.83,238.88,89.12,171.06
1/4/2023,14.75,180.13,136.38,106.82,152.23,85.14,84.49,241.36,88.08,172.67
1/5/2023,14.27,178.8,135.35,109.21,150.34,83.12,82.63,240.28,86.2,170.52
1/6/2023,14.86,180.25,137.94,110.53,153.92,86.08,83.65,248.86,87.34,173.71
1/9/2023,15.63,175.58,137.37,108.47,152.04,87.36,84.07,246.62,88.02,174.1
1/10/2023,15.91,175.16,138.6,110.09,151.89,89.87,84.54,250.51,88.42,174.74
1/11/2023,16,174.88,139.63,111.37,150.66,95.09,85,250.73,91.52,174.62
1/12/2023,16.51,174,139.49,113.22,149.81,95.27,85.07,255.07,91.13,176.64
1/13/2023,16.9,173.43,143.01,113.15,150.88,98.12,84.68,258.46,92.12,178.76
1/17/2023,17.7,172.36,140.8,112.93,150.44,96.05,85.74,256.26,91.29,177.59
1/18/2023,17.38,169.76,136.57,110.61,146.41,95.46,83.8,252.82,91.12,177.08
1/19/2023,16.77,169.53,134.75,111.32,142.42,93.68,82.59,245.75,93.05,179.89
1/20/2023,17.84,168.74,135.08,113.35,142.97,97.25,81.82,249.71,98.02,179.29
1/23/2023,19.19,168.31,137.27,112.76,141.05,97.52,82.67,252.7,99.79,179.63
1/24/2023,19.27,168.31,138.45,113.81,141.82,96.32,83.9,257.61,97.7,180.28
1/25/2023,19.32,169.51,139.12,113.21,141.72,97.18,76.59,258.44,95.22,181.11
1/26/2023,19.8,168.89,139.98,117.76,141.15,99.22,76.4,262.12,97.52,179.47
1/27/2023,20.36,168.23,140.32,115.61,140.57,102.24,75.58,264.54,99.37,179.22
1/30/2023,19.16,162,139.13,113.56,141.01,100.55,75.05,261.5,96.94,178.76
1/31/2023,19.54,163.42,139.96,116.01,142.38,103.13,74.63,252.29,98.84,179.41
2/1/2023,20.94,164.92,139.59,114.74,143.19,105.15,74.24,249.54,100.43,181.67
2/2/2023,21.71,165.54,138.94,111.15,142.17,112.91,75.6,244.9,107.74,177.9
2/3/2023,21.1,164.61,141.09,111.92,142.61,103.39,74.67,247.76,104.78,173.46
2/6/2023,21.09,163.36,141.92,111.73,141.4,102.18,75.51,251.42,102.9,173.82
2/7/2023,22.17,163.4,143.65,114.92,140.02,102.11,76.08,249.66,107.64,173.98
2/8/2023,22.21,163.61,142.64,113.92,138.57,100.05,75.03,248.87,99.37,174.41
2/9/2023,22.34,161.4,140.42,114.35,137.05,98.24,73.27,246.28,95.01,173.03
2/10/2023,21.27,162.15,141.04,119.17,138.26,97.61,74.74,247.67,94.57,173.36
2/13/2023,21.79,162.75,142.57,117.8,140.07,99.54,75.62,248.15,94.61,172.48
2/14/2023,22.97,162.04,143.2,116.42,139.28,99.7,76.03,244.36,94.68,172.61
2/15/2023,22.76,159.37,143.8,116.07,138.96,101.16,76.94,248.7,96.94,170.89
2/16/2023,22,158.24,141.82,115.73,137.14,98.15,75.69,246.52,95.51,170.75
2/17/2023,21.39,160.39,142.24,111.28,140.01,97.2,76.07,247.79,94.35,171.26
2/21/2023,20.66,158,139.63,111.17,139.91,94.58,73.66,240.71,91.79,170.62
2/22/2023,20.75,157.78,138.56,109.73,140.5,95.79,73.68,237.89,91.65,169.66
2/23/2023,23.66,157.73,139.67,110.74,140.05,95.82,72.87,237.95,90.89,169.57
2/24/2023,23.29,155.97,140.93,110.75,139.26,93.5,72.92,236.17,89.13,168.35
2/27/2023,23.5,155.63,142.16,110.55,139.14,93.76,71.86,239.98,89.87,169.01
2/28/2023,23.22,153.26,143.35,109.91,137.56,94.23,71.03,239.55,90.06,169.78
3/1/2023,22.7,152.57,142.55,110.89,137.66,92.17,69.87,248.67,90.36,170.76
3/2/2023,23.31,152.45,141.07,111.4,139.93,92.13,72.21,252.18,92,170.66
3/3/2023,23.89,154.02,143.66,112.81,140.95,94.9,73.83,255.31,93.65,172.49
3/6/2023,23.55,155.56,142.82,113.81,140.35,93.75,74.4,253.98,95.13,171.62
3/7/2023,23.29,154.09,138.62,111.61,137.56,93.55,73.75,246.14,93.86,168.62
3/8/2023,24.18,152.96,137.8,109.98,137.58,93.92,74.25,248.72,94.25,168.54
3/9/2023,23.44,151.24,130.34,109.13,136.57,92.25,73.76,240.96,92.32,170.2
3/10/2023,22.97,151.61,133.65,107.78,137.19,90.73,73.01,227.01,90.63,173.87
3/13/2023,22.97,153.06,131.25,106.54,138.14,92.43,73.29,224.7,91.11,177.86
3/14/2023,24.06,153.92,134.62,106.94,139.85,94.88,74.55,225.67,93.97,176.83
3/15/2023,24.23,154.35,128.26,101.62,141.83,96.2,75.52,217.26,96.11,178.21
3/16/2023,25.54,154.03,130.75,101.03,142.89,100.04,76.23,218.71,100.32,178.57
3/17/2023,25.73,152.38,125.81,99.84,142.93,98.95,75.67,215.01,101.62,183.77
3/20/2023,25.9,153.89,127.14,102.45,145.13,97.71,75.97,220.31,101.22,183.84
3/21/2023,26.2,153.89,130.55,107.04,144.08,100.61,75.36,224.92,104.92,180.37
3/22/2023,26.47,151.05,127.18,104.59,143.99,98.7,74.13,219.95,103.37,183.44
3/23/2023,27.19,151.13,126.84,103.41,143.79,98.71,73.81,219.44,105.6,185.74
3/24/2023,26.78,152.65,124.91,103.53,146.72,98.13,75.69,217.01,105.44,183.65
3/27/2023,26.53,153.3,128.49,105.8,145.95,98.04,75.44,218,102.46,181.95
3/28/2023,26.41,151.82,128.88,107.12,146.36,97.24,75.24,220.16,101.03,183.44
3/29/2023,26.98,153.31,129.14,108.96,146.81,100.25,76.11,223,101.39,182.53
3/30/2023,27.38,153.43,128.75,109.49,147.45,102,76.59,224.54,100.89,184.18
3/31/2023,27.78,155,130.31,109.66,148.69,103.29,77.08,228.84,103.73,183.22
4/3/2023,27.97,156.85,130.16,116.13,149.51,102.41,76.67,229.87,104.36,184.54
4/4/2023,27.45,158.49,128.42,115.02,150.23,103.95,77.16,217.45,104.72,187.98
4/5/2023,26.88,165.61,127.61,116.99,151.26,101.1,78.33,213.53,104.47,187.83
4/6/2023,27.04,165.15,127.47,115.05,152.22,102.06,78.97,209.17,108.42,186.49
4/10/2023,27.58,164.32,127.89,114.54,150.96,102.17,78.43,215.53,106.44,185.11
